No.,Time,Source,Destination,Protocol,Length,Info,attack_probability,prediction,confidence
12,0.636693,52.168.112.66,192.168.100.130,TLSv1.3,1466,Server Hello,0.931376,ATTACK,0.931376
13,0.636961,52.168.112.66,192.168.100.130,TCP,1466,443  >  3793 [ACK] Seq=1512 Ack=2521 Win=4194304 Len=1412 [TCP PDU reassembled in 16],0.931376,ATTACK,0.931376
14,0.637078,192.168.100.130,52.168.112.66,TCP,54,3793  >  443 [ACK] Seq=2521 Ack=2924 Win=65280 Len=0,0.931376,ATTACK,0.931376
15,0.637641,52.168.112.66,192.168.100.130,TCP,2878,443  >  3793 [ACK] Seq=2924 Ack=2521 Win=4194304 Len=2824 [TCP PDU reassembled in 16],0.931376,ATTACK,0.931376
16,0.637641,52.168.112.66,192.168.100.130,TLSv1.3,773,Application Data,0.931376,ATTACK,0.931376
17,0.637774,192.168.100.130,52.168.112.66,TCP,54,3793  >  443 [ACK] Seq=2521 Ack=6467 Win=65280 Len=0,0.931376,ATTACK,0.931376
18,0.643693,192.168.100.130,52.168.112.66,TLSv1.3,128,Application Data,0.931376,ATTACK,0.931376
19,0.64436,192.168.100.130,52.168.112.66,TLSv1.3,146,Application Data,0.931376,ATTACK,0.931376
20,0.644942,192.168.100.130,52.168.112.66,TLSv1.3,544,Application Data,0.931376,ATTACK,0.931376
21,0.645147,192.168.100.130,52.168.112.66,TLSv1.3,1212,Application Data,0.931376,ATTACK,0.931376
22,0.851734,52.168.112.66,192.168.100.130,TCP,60,443  >  3793 [ACK] Seq=6467 Ack=3177 Win=4193536 Len=0,0.931376,ATTACK,0.931376
23,0.851961,52.168.112.66,192.168.100.130,TCP,60,443  >  3793 [ACK] Seq=6467 Ack=4335 Win=4194816 Len=0,0.931376,ATTACK,0.931376
24,0.851961,52.168.112.66,192.168.100.130,TLSv1.3,157,Application Data,0.931376,ATTACK,0.931376
25,0.852241,52.168.112.66,192.168.100.130,TLSv1.3,116,Application Data,0.931376,ATTACK,0.931376
26,0.852332,192.168.100.130,52.168.112.66,TCP,54,3793  >  443 [ACK] Seq=4335 Ack=6632 Win=65280 Len=0,0.931376,ATTACK,0.931376
27,0.852651,192.168.100.130,52.168.112.66,TLSv1.3,85,Application Data,0.931376,ATTACK,0.931376
28,1.058841,52.168.112.66,192.168.100.130,TLSv1.3,366,"Application Data, Application Data",0.931376,ATTACK,0.931376
29,1.099481,192.168.100.130,52.168.112.66,TCP,54,3793  >  443 [ACK] Seq=4366 Ack=6944 Win=65024 Len=0,0.931376,ATTACK,0.931376
30,1.111137,52.168.112.66,192.168.100.130,TCP,60,443  >  3793 [ACK] Seq=6944 Ack=4366 Win=4194816 Len=0,0.931376,ATTACK,0.931376
31,1.148543,104.18.39.21,192.168.100.130,TLSv1.2,82,Application Data,0.931376,ATTACK,0.931376
32,1.149158,192.168.100.130,104.18.39.21,TLSv1.2,82,Application Data,0.931376,ATTACK,0.931376
33,1.16295,104.18.39.21,192.168.100.130,TCP,64,443  >  45310 [ACK] Seq=25 Ack=29 Win=19 Len=0,0.931376,ATTACK,0.931376
34,1.61549,192.168.100.130,162.254.196.80,TLSv1.2,108,Application Data,0.931376,ATTACK,0.931376
35,1.631158,192.168.100.130,192.168.1.101,TCP,66,14237  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,0.931376,ATTACK,0.931376
36,1.631211,Intel_45:55:60,Broadcast,ARP,42,Who has 192.168.100.93? Tell 192.168.100.130,0.931376,ATTACK,0.931376
37,1.647269,192.168.100.130,192.168.0.108,TCP,66,14239  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,0.931376,ATTACK,0.931376
38,1.757912,162.254.196.80,192.168.100.130,TCP,60,27019  >  27183 [ACK] Seq=1 Ack=55 Win=2772 Len=0,0.931376,ATTACK,0.931376
39,1.86054,192.168.100.130,57.144.139.32,TLSv1.2,124,Application Data,0.931376,ATTACK,0.931376
40,1.86425,47.246.7.201,192.168.100.130,TLSv1.2,78,Application Data,0.931376,ATTACK,0.931376
41,1.865308,47.246.7.201,192.168.100.130,TCP,54,"443  >  17650 [FIN, ACK] Seq=25 Ack=1 Win=563 Len=0",0.931376,ATTACK,0.931376
42,1.865436,192.168.100.130,47.246.7.201,TCP,54,17650  >  443 [ACK] Seq=1 Ack=26 Win=251 Len=0,0.931376,ATTACK,0.931376
43,1.874862,57.144.139.32,192.168.100.130,TCP,60,443  >  60990 [ACK] Seq=1 Ack=71 Win=517 Len=0,0.931376,ATTACK,0.931376
44,2.014558,57.144.139.32,192.168.100.130,TLSv1.2,126,Application Data,0.931376,ATTACK,0.931376
45,2.06873,192.168.100.130,57.144.139.32,TCP,54,60990  >  443 [ACK] Seq=71 Ack=73 Win=509 Len=0,0.931376,ATTACK,0.931376
46,2.182121,Intel_45:55:60,Broadcast,ARP,42,Who has 192.168.100.93? Tell 192.168.100.130,0.931376,ATTACK,0.931376
47,3.187,Intel_45:55:60,Broadcast,ARP,42,Who has 192.168.100.93? Tell 192.168.100.130,0.931376,ATTACK,0.931376
48,3.368641,192.168.100.130,135.225.242.109,TLSv1.2,105,Application Data,0.931376,ATTACK,0.931376
49,3.575671,135.225.242.109,192.168.100.130,TLSv1.2,94,Application Data,0.931376,ATTACK,0.931376
50,3.627186,192.168.100.130,135.225.242.109,TCP,54,14448  >  443 [ACK] Seq=52 Ack=41 Win=255 Len=0,0.931376,ATTACK,0.931376
51,3.667183,192.168.100.40,255.255.255.255,UDP,240,6537  >  6537 Len=198,0.931376,ATTACK,0.931376
52,3.872771,192.168.100.40,255.255.255.255,UDP,240,6537  >  6537 Len=198,0.931376,ATTACK,0.931376
53,6.068946,192.168.100.127,239.255.255.250,SSDP,167,M-SEARCH * HTTP/1.1 ,0.931376,ATTACK,0.931376
54,8.335802,192.168.100.130,3.173.21.63,TCP,55,62919  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1,0.931376,ATTACK,0.931376
55,8.34975,3.173.21.63,192.168.100.130,TCP,66,443  >  62919 [ACK] Seq=1 Ack=2 Win=381 Len=0 SLE=1 SRE=2,0.931376,ATTACK,0.931376
56,9.093861,192.168.100.40,255.255.255.255,UDP,240,6537  >  6537 Len=198,0.931376,ATTACK,0.931376
57,9.298805,192.168.100.40,255.255.255.255,UDP,240,6537  >  6537 Len=198,0.931376,ATTACK,0.931376
58,9.635117,192.168.100.130,192.168.1.101,TCP,66,[TCP Retransmission] 14237  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,0.931376,ATTACK,0.931376
59,9.635176,Intel_45:55:60,Broadcast,ARP,42,Who has 192.168.100.93? Tell 192.168.100.130,0.931376,ATTACK,0.931376
60,9.650315,192.168.100.130,192.168.0.108,TCP,66,[TCP Retransmission] 14239  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,0.931376,ATTACK,0.931376
61,10.178649,Intel_45:55:60,Broadcast,ARP,42,Who has 192.168.100.93? Tell 192.168.100.130,0.931376,ATTACK,0.931376
62,11.186344,Intel_45:55:60,Broadcast,ARP,42,Who has 192.168.100.93? Tell 192.168.100.130,0.931376,ATTACK,0.931376
